day,mean_nav,p5_nav,p95_nav
387,618.2336751305985,459.504686528141,815.9882372726039
388,618.4057859328763,460.71623785552777,815.7478455609933
389,618.5384854615285,460.75265955477516,818.5795581881447
390,618.6364805131343,457.75374154148756,818.7444195628702
391,618.730471810652,457.81835578405395,820.2493022376535
392,619.0050791118655,458.4747414501517,822.278096607581
393,619.1150970292784,460.22726693592995,822.9963586602503
394,619.0494246506487,460.7479923051547,820.2412594647708
395,619.4000878602276,459.0456027314254,817.1238177994783
396,619.6209585077947,459.8958193506728,824.0245739210137
397,619.6613764781581,457.2868915192015,823.913543292481
398,619.594401825304,457.27708675062263,821.9089031842568
399,619.5790966975045,457.05854879966506,824.9542379649235
400,619.8533199286363,458.3831213393094,824.1274133586975
401,619.956420729437,458.9022915866752,819.4768024399156
402,620.1704296680315,457.7246919725184,826.1113557271151
403,620.0714606242402,456.53921167055177,821.4263025267339
404,620.3523168551392,456.026958752747,826.0509461869659
405,620.4745665312545,457.2793706951246,822.5791227686688
406,620.5904492976009,455.8831569698717,821.3707534388057
407,620.6375282229692,454.90445187952565,823.638643075809
408,620.7564495050077,458.0856932774627,821.6960708200259
409,620.5940868346233,457.2944971349291,821.5107569835257
410,620.5299893709679,454.39954145257445,817.8450591969853
411,620.917804999716,456.6963907653839,819.3386530557599
412,621.0576505952042,455.88203406572507,820.925762968969
413,621.2928570776826,455.4239896126453,822.2225038323702
414,621.4179749684439,453.9365988920449,822.8466944597485
415,621.6424806790176,454.7379154915953,824.473112518275
416,621.9844683968887,454.07978173789337,825.1876565655057
417,622.0508178781743,454.55793307990837,826.8078899974702
418,622.0521073811725,455.87179154664074,828.8291919150187
419,622.2842411007283,456.53551534492584,833.3815574677257
420,622.4413593962004,454.529355915646,829.8387245601165
421,622.6612019823837,453.606197041367,830.1243940138986
422,622.9001429726222,451.9714144332983,832.6900192397994
423,623.1998591557821,452.6361138977722,832.1080936762218
424,623.2678549417204,453.8366039188234,830.2639418849408
425,623.1365517024892,453.9329654095621,829.8459635351702
426,623.0583575944295,454.1615506260059,825.7993370889595
427,623.5041602582228,454.5232360078862,828.4188248280477
428,623.4820646215813,453.05854210747924,833.1954097885147
429,623.3829691109837,453.08813584105263,830.3280720088136
430,623.3135892667635,453.6912339112475,826.9688711161945
431,623.8143294803489,454.08225537910096,831.8637211468434
432,624.0568274558549,451.20520377502856,831.0977437754287
433,623.9755483167189,453.07029883873025,831.8972871334324
434,624.1838465604961,453.97659665743066,832.5699121580834
435,624.6254971932216,452.56431865886174,833.7876229935281
436,624.8790631036126,452.8901311321833,831.6879822367653
437,624.575981233636,452.70646661542173,831.4990720404624
438,625.0485781815069,452.2161559305187,833.9239119684498
439,625.0132644260211,452.5842680407203,831.6901594675664
440,624.6362158831754,451.5338700640949,835.4953866593855
441,624.8410767445229,450.7597504223221,838.683982366594
442,624.8811194089715,449.44253314542834,838.4883723528218
443,625.1601587963679,451.9285023027524,838.9676528314582
444,625.0122861965875,450.6601449925026,833.2434540068732
445,625.1766987374995,449.0168981208667,835.1274212838567
446,625.523547099738,448.5165456402449,837.545009486207
447,625.7252082428097,449.06396186541144,833.8586903537794
448,625.7516240942984,448.83918445968663,839.7733434441486
449,625.8962652625744,448.9695484965344,839.6453053835797
450,626.0822453370541,451.16781835988616,840.6475234274263
451,626.1352171946716,448.60394078277744,840.6242932775056
452,626.4830318751998,449.7335254163239,839.7145787233005
453,626.4567174551562,448.91076263377045,838.6294132581863
454,626.5627502378492,448.2937115624533,839.6072388350336
455,626.6252381610551,449.3002500041767,841.1195234014106
456,626.408022028499,447.816981451889,841.9404328911245
457,626.5150927078114,446.9506328227422,842.3786771833717
458,626.4603378591979,447.1635833265363,839.9320166971424
459,626.4402634255482,449.2106023534174,840.134001516456
460,626.7583915313202,447.63956414135777,844.5163993042166
461,626.8447034583478,445.8189173751084,847.2177773341367
462,626.8063008999604,444.58974823354106,843.164718443411
463,626.930969657427,446.75292102263467,844.8485771800819
464,626.9046598718327,447.6147698323295,846.1272594272102
465,627.2208786050228,448.74000364051227,847.832513020863
466,627.2809599259351,448.93515730240904,847.3546820038291
467,627.5531431162074,446.2734336550311,848.5147995204072
468,627.5468385857297,448.16244843337597,851.2989477173719
469,627.4370571312514,446.9525698121007,849.0346638476962
470,627.6666391211481,445.3770894872486,850.1088165031539
471,628.0146819076409,446.16899222932136,852.3070694954803
472,628.292027103746,445.71681263224605,851.9096095016855
473,628.2152605737476,444.9149432024514,849.8048804187227
474,628.0156679608309,447.05969205668777,847.6689955821315
475,628.1473070306961,446.10741854310766,849.8837884642297
476,628.2351929419973,444.66949593566744,849.4133354902664
477,628.342560800849,443.95826604418244,850.5238469514229
478,627.9203407895458,445.1392858667639,849.4360866360837
479,628.4184911416124,445.917065695754,849.6821052648369
480,628.5246414163456,444.41820220278635,847.6629004685844
481,628.7377560238237,445.71250748697497,846.1586472099929
482,628.9534979556298,447.7438140037121,849.2818910792367
483,629.1682794278695,447.8123136504285,850.0812873795179
484,629.3211092656725,448.095817123714,852.8222924349255
485,629.4776667519544,447.1565974216081,851.3338964588244
486,629.39511682558,444.9780343830218,848.7577353304596
487,629.5345342780836,446.2474923949848,852.8367238015065
488,629.6602891349264,447.68936597287905,854.3035072293394
489,629.3329607241499,446.82273775460004,850.6808521708598
490,629.4964836683142,446.9112473868681,850.5389467045545
491,629.3186151403847,444.63357551659215,852.526414301316
492,629.5215589275535,444.47543422757275,850.0834022908398
493,629.6577381049581,442.49511278152727,850.8442781025894
494,629.8782225961967,442.5190565146178,846.4488534236738
495,630.1647265967606,442.70687844598626,848.9261418422574
496,630.1898534076682,442.17605208510474,845.3754419459099
497,630.3796055281728,445.9219994553184,854.2219551637697
498,630.3715808927611,445.64789973137346,852.7279359895996
499,630.5932717311244,446.4780628002329,853.2659219723762
500,630.575783452478,446.518513319548,855.2118874021775
501,630.6962784960699,444.0874083694887,854.2049158074626
502,630.6154886517138,442.0923304628817,852.7454245532588
503,630.9654779299171,444.26527624604637,855.9074244776458
504,630.80426354548,443.0980343446658,855.3688147517655
505,630.8156839289062,441.9490885538524,860.124216881345
506,631.2186336506652,443.07274142697446,860.0444430561075
507,631.0631641205982,441.81094495908775,856.1178530614909
508,631.1558023122153,441.1255441072782,854.296905872857
509,630.9968620283507,440.5405969619957,855.1208814554299
510,631.0906298032102,442.12021029188105,860.6535906695574
511,631.7682368517784,440.98576657424053,860.82695708082
512,631.6128012222117,440.43177790913734,857.985722339773
513,631.4848350849295,438.9775775145446,865.2353685629129
514,631.4248357616433,441.54883666389054,859.7710972625108
515,631.6054296343785,441.6681421486271,861.9815134574561
516,631.4558228166666,442.7566560358669,864.1029544373571
517,631.6062054466331,441.3788182641745,863.7282019945251
518,631.9127553351088,441.2769250617579,860.7378594935059
519,632.0968933377233,439.9214159902138,862.4634117235985
520,632.3280545900177,441.69584063490595,856.7739281353743
521,632.5123983893558,439.7950636078671,863.1682128670408
522,632.7477782683246,438.2793041481142,864.2608198919373
523,632.9487943234585,438.50182637597896,866.3751429176422
524,633.1809692329807,439.41631973789896,864.0958825404427
525,633.4450053362393,439.18842699040715,862.0974495301925
526,633.6583746423659,440.2532909973302,863.8960014945134
527,633.9143663651317,440.3288541261053,865.2646176721531
528,633.9664425871322,441.14546605016113,867.9626625165615
529,634.2472368378095,438.76384894578183,869.2363295705417
530,634.244474078296,436.5819780885257,870.2442006398975
531,634.3497339296815,437.5257023639721,867.6308100279418
532,634.5414294801486,438.73654843095903,866.7672420567799
533,634.1460484294131,438.9463803117054,865.9693136322052
534,634.0492594743358,440.3480272969041,865.6013565907556
535,634.144803727824,440.1690733912998,872.9687740874484
536,634.0101068541588,442.65561047580354,868.3401345524534
537,634.3051794696444,442.68426260421705,870.5497100052232
538,634.3811828784967,442.8305314422898,870.3625775269296
